B,G,R,label
47,186,149,s
25,190,145,s
65,201,159,s
99,189,176,h
6,157,107,h
115,244,213,s
123,253,222,s
85,218,186,s
133,255,228,s
131,254,226,s
128,254,225,s
139,255,232,s
135,252,227,s
134,254,229,s
123,243,218,s
124,242,217,s
114,237,211,s
22,170,130,s
69,208,170,s
98,238,201,s
61,206,167,s
116,253,215,s
117,254,216,s
87,232,193,s
103,238,200,s
113,250,212,s
86,233,195,s
90,229,191,s
86,226,185,s
74,225,186,s
81,229,189,s
50,200,157,s
66,221,182,s
71,229,188,s
50,209,165,s
107,223,180,s
146,255,221,s
135,254,215,s
103,228,188,s
100,221,183,h
98,218,183,h
73,191,156,h
101,219,184,h
119,237,202,h
122,238,201,h
112,228,191,h
115,230,191,h
94,213,174,h
105,224,186,h
114,232,197,h
80,198,163,h
97,215,180,h
125,243,208,h
127,243,206,h
124,240,203,h
117,232,193,h
87,206,167,h
113,229,192,h
107,223,188,h
96,212,177,h
87,203,168,h
126,242,207,h
125,239,202,h
127,241,204,h
114,228,191,h
92,211,173,h
118,232,195,h
116,228,194,h
105,218,184,h
95,208,174,h
125,241,206,h
124,237,203,h
120,234,197,h
110,224,187,h
104,220,183,h
119,231,197,h
127,236,204,h
102,213,181,h
106,219,186,h
128,241,207,h
126,239,205,h
120,233,199,h
116,230,193,h
109,225,188,h
127,237,203,h
122,231,199,h
102,211,179,h
102,213,181,h
122,235,202,h
119,232,198,h
117,230,196,h
121,235,198,h
105,221,184,h
143,250,218,h
129,235,206,h
121,227,198,h
104,212,183,h
136,247,215,h
123,235,201,h
124,236,202,h
119,233,196,h
93,209,172,h
144,251,219,h
148,251,223,h
138,241,213,h
109,215,186,h
135,243,214,h
129,240,208,h
120,232,198,h
114,227,193,h
106,222,185,h
148,255,223,h
153,255,228,h
142,245,217,h
114,220,191,h
135,243,214,h
134,245,213,h
127,239,205,h
117,230,196,h
113,229,194,h
143,252,220,h
148,254,225,h
139,242,214,h
115,221,192,h
135,241,212,h
129,238,206,h
128,239,207,h
116,229,195,h
103,219,184,h
132,242,213,h
143,248,221,h
137,240,213,h
118,221,193,h
138,244,215,h
128,237,205,h
127,238,206,h
121,234,200,h
100,216,181,h
132,242,213,h
137,242,215,h
130,233,206,h
126,229,201,h
142,248,219,h
132,239,207,h
130,241,209,h
131,243,209,h
107,223,188,h
133,245,215,h
135,240,213,h
118,221,194,h
131,234,207,h
142,248,219,h
129,236,204,h
129,240,208,h
126,238,204,h
106,222,187,h
131,242,214,h
135,240,213,h
109,212,185,h
126,231,204,h
142,248,219,h
135,242,210,h
132,241,209,h
120,231,199,h
109,225,190,h
128,241,213,h
135,242,216,h
109,213,188,h
131,238,211,h
143,251,222,h
138,245,213,h
134,243,211,h
132,243,211,h
122,237,204,h
135,246,218,h
127,234,208,h
104,208,183,h
130,235,208,h
149,255,226,h
144,248,217,h
138,245,213,h
128,236,207,h
121,235,205,h
121,231,203,h
135,237,212,h
113,214,189,h
133,234,208,h
153,255,227,h
148,248,218,h
145,245,215,h
126,232,203,h
121,233,203,h
120,227,200,h
141,242,217,h
112,211,185,h
133,232,206,h
160,255,230,h
152,248,218,h
150,248,218,h
133,235,207,h
122,232,203,h
111,216,189,h
140,241,216,h
121,220,194,h
141,238,212,h
159,254,227,h
155,247,218,h
155,248,219,h
143,240,213,h
131,237,208,h
83,189,160,h
138,241,214,h
139,238,212,h
148,245,219,h
159,254,227,h
153,245,216,h
153,246,217,h
145,242,215,h
136,242,213,h
72,180,151,h
129,234,207,h
136,239,212,h
144,243,217,h
163,255,233,h
152,245,216,h
154,247,218,h
142,239,212,h
133,236,209,h
65,175,146,h
117,224,197,h
138,242,217,h
143,244,218,h
156,253,226,h
155,250,223,h
158,253,226,h
141,238,212,h
123,226,199,h
63,177,147,h
107,218,190,h
138,245,219,h
140,241,215,h
161,255,231,h
158,253,226,h
147,242,215,h
146,243,217,h
124,227,200,h
61,178,147,h
70,180,154,h
135,242,216,h
148,246,222,h
156,253,227,h
154,248,223,h
159,255,230,h
139,237,213,h
100,204,179,h
50,168,139,h
75,183,160,h
129,230,208,h
153,247,223,h
168,255,236,h
154,245,222,h
157,253,229,h
122,224,199,h
97,206,180,h
72,187,160,h
88,193,172,h
133,230,210,h
167,255,236,h
167,255,232,h
164,255,232,h
143,241,217,h
106,212,189,h
99,213,189,h
102,212,186,h
90,189,169,h
132,224,205,h
168,252,234,h
171,255,236,h
166,255,238,h
134,235,213,h
96,207,185,h
80,200,175,h
99,203,180,h
68,162,145,h
65,153,137,h
173,254,239,h
173,255,241,h
157,252,232,h
129,235,212,h
92,209,186,h
73,200,175,h
30,130,108,h
78,167,151,h
82,167,152,h
172,253,238,h
166,255,236,h
153,254,233,h
118,229,207,h
91,215,193,h
87,220,194,h
17,105,89,h
63,149,137,h
138,224,212,h
168,250,237,h
165,254,238,h
154,255,238,h
98,213,193,h
88,213,193,h
95,226,205,h
48,190,145,h
35,180,135,h
25,170,125,h
16,161,116,h
32,175,130,h
39,181,136,h
79,221,176,h
72,214,167,h
35,177,130,h
22,164,117,h
38,180,133,h
41,184,135,h
29,172,123,h
35,178,129,h
28,171,122,h
31,172,123,h
28,169,118,h
22,166,114,h
32,176,123,h
17,161,108,h
69,213,160,h
56,200,148,h
50,194,142,h
62,205,156,h
59,202,153,h
67,210,161,h
68,212,163,h
44,188,140,h
30,176,128,h
34,184,138,h
16,170,123,h
29,171,126,h
32,175,130,h
42,187,142,h
24,167,122,h
20,163,118,h
54,196,151,h
87,229,184,h
56,198,151,h
35,177,130,h
17,159,112,h
35,177,130,h
33,176,127,h
33,176,127,h
33,174,125,h
26,167,118,h
43,181,133,h
