B,G,R,label,H,S,V
47,186,149,s,38,191,186
25,190,145,s,38,221,190
65,201,159,s,39,173,201
99,189,176,h,34,121,189
6,157,107,h,40,245,157
115,244,213,s,37,135,244
123,253,222,s,37,131,253
85,218,186,s,37,156,218
133,255,228,s,37,122,255
131,254,226,s,37,123,254
128,254,225,s,37,126,254
139,255,232,s,36,116,255
135,252,227,s,36,118,252
134,254,229,s,36,120,254
123,243,218,s,36,126,243
124,242,217,s,36,124,242
114,237,211,s,36,132,237
22,170,130,s,38,222,170
69,208,170,s,38,170,208
98,238,201,s,38,150,238
61,206,167,s,38,179,206
116,253,215,s,38,138,253
117,254,216,s,38,138,254
87,232,193,s,38,159,232
103,238,200,s,38,145,238
113,250,212,s,38,140,250
86,233,195,s,38,161,233
90,229,191,s,38,155,229
86,226,185,s,39,158,226
74,225,186,s,38,171,225
81,229,189,s,38,165,229
50,200,157,s,39,191,200
66,221,182,s,38,179,221
71,229,188,s,38,176,229
50,209,165,s,38,194,209
107,223,180,s,41,133,223
146,255,221,s,39,109,255
135,254,215,s,40,119,254
103,228,188,s,40,140,228
100,221,183,h,39,140,221
98,218,183,h,39,140,218
73,191,156,h,39,158,191
101,219,184,h,39,137,219
119,237,202,h,39,127,237
122,238,201,h,40,124,238
112,228,191,h,40,130,228
115,230,191,h,40,127,230
94,213,174,h,40,142,213
105,224,186,h,40,135,224
114,232,197,h,39,130,232
80,198,163,h,39,152,198
97,215,180,h,39,140,215
125,243,208,h,39,124,243
127,243,206,h,40,122,243
124,240,203,h,40,123,240
117,232,193,h,40,126,232
87,206,167,h,40,147,206
113,229,192,h,40,129,229
107,223,188,h,39,133,223
96,212,177,h,39,140,212
87,203,168,h,39,146,203
126,242,207,h,39,122,242
125,239,202,h,40,122,239
127,241,204,h,40,121,241
114,228,191,h,40,127,228
92,211,173,h,40,144,211
118,232,195,h,40,125,232
116,228,194,h,39,125,228
105,218,184,h,39,132,218
95,208,174,h,39,139,208
125,241,206,h,39,123,241
124,237,203,h,39,122,237
120,234,197,h,40,124,234
110,224,187,h,40,130,224
104,220,183,h,40,134,220
119,231,197,h,39,124,231
127,236,204,h,39,118,236
102,213,181,h,39,133,213
106,219,186,h,39,132,219
128,241,207,h,39,120,241
126,239,205,h,39,121,239
120,233,199,h,39,124,233
116,230,193,h,40,126,230
109,225,188,h,40,131,225
127,237,203,h,39,118,237
122,231,199,h,39,120,231
102,211,179,h,39,132,211
102,213,181,h,39,133,213
122,235,202,h,39,123,235
119,232,198,h,39,124,232
117,230,196,h,39,125,230
121,235,198,h,40,124,235
105,221,184,h,40,134,221
143,250,218,h,39,109,250
